127.0.0.1, 2018-04-10 15:42:19, POST, /admin/default/index, HTTP/1.1, 303, 0.013445
127.0.0.1, 2018-04-10 15:42:19, GET, /admin/default/site, HTTP/1.1, 200, 0.041509
127.0.0.1, 2018-04-10 15:42:19, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000891
127.0.0.1, 2018-04-10 15:42:19, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.001952
127.0.0.1, 2018-04-10 15:42:19, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.000939
127.0.0.1, 2018-04-10 15:42:19, POST, /admin/default/check_version, HTTP/1.1, 200, 0.188069
127.0.0.1, 2018-04-10 15:42:23, GET, /start/default/index, HTTP/1.1, 200, 0.116641
127.0.0.1, 2018-04-10 15:42:23, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001234
127.0.0.1, 2018-04-10 15:42:23, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.000890
127.0.0.1, 2018-04-10 15:42:23, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.002146
127.0.0.1, 2018-04-10 15:42:23, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.002187
127.0.0.1, 2018-04-10 15:42:23, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.001505
127.0.0.1, 2018-04-10 15:42:23, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001435
127.0.0.1, 2018-04-10 15:42:23, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.003591
127.0.0.1, 2018-04-10 15:42:23, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.002277
127.0.0.1, 2018-04-10 15:42:23, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.001669
127.0.0.1, 2018-04-10 15:42:23, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.001299
127.0.0.1, 2018-04-10 15:42:23, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.001842
127.0.0.1, 2018-04-10 15:42:23, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.002344
127.0.0.1, 2018-04-10 15:42:23, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.001917
127.0.0.1, 2018-04-10 15:42:24, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000408
127.0.0.1, 2018-04-10 15:42:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.022342
127.0.0.1, 2018-04-10 15:42:31, GET, /examples/default/index, HTTP/1.1, 200, 0.021768
